Emirates Stadium,Arsenal,60361,51.5549,-0.108436
Villa Park,Aston Villa,42788,52.5092,-1.88508
Cardiff City Stadium,Cardiff City,26828,51.4729,-3.20413
Stamford Bridge,Chelsea,41837,51.4816,-0.191034
Selhurst Park,Crystal Palace,26309,51.3983,-0.085455
Goodison Park,Everton,40157,53.4387,-2.96619
Craven Cottage,Fulham,25700,51.4749,-0.221619
KC Stadium,Hull City,25586,53.7465,-0.368009
Anfield,Liverpool,45522,53.4308,-2.96096
Etihad Stadium,Manchester City,47805,53.483,-2.20024
Old Trafford,Manchester United,75811,53.4631,-2.29139
St James Park,Newcastle United,52387,54.9756,-1.62179
Carrow Road,Norwich City,27033,52.6221,1.30912
St Mary's Stadium,Southampton,32689,50.9058,-1.39114
Britannia Stadium,Stoke City,27598,52.9884,-2.17542
Stadium of Light,Sunderland,49000,54.9146,-1.38837
Liberty Stadium,Swansea City,20532,51.6428,-3.93473
White Hart Lane,Tottenham Hotspur,36230,51.6033,-0.065684
The Hawthorns,West Bromwich Albion,26272,52.509,-1.96418
Boleyn Ground,West Ham,35016,51.5321,0.039225
